"","season","match_round","player_name","player_team","coaches_votes"
"1",2014,1,"Nat Fyfe","Fremantle",8
"2",2014,1,"Stephen Hill","Fremantle",6
"3",2014,1,"Aaron Sandilands","Fremantle",5
"4",2014,1,"Danyle Pearce","Fremantle",5
"5",2014,1,"Michael Johnson","Fremantle",3
"6",2014,1,"Luke McPharlin","Fremantle",2
"7",2014,1,"Michael Barlow","Fremantle",1
"8",2014,1,"Callan Ward","Greater Western Sydney",10
"9",2014,1,"Adam Treloar","Greater Western Sydney",8
"10",2014,1,"Stephen Coniglio","Greater Western Sydney",5
"11",2014,1,"Jeremy Cameron","Greater Western Sydney",3
"12",2014,1,"Nick Haynes","Greater Western Sydney",2
"13",2014,1,"Phil Davis","Greater Western Sydney",1
"14",2014,1,"Shane Mumford","Greater Western Sydney",1
"15",2014,1,"Gary Ablett","Gold Coast",10
"16",2014,1,"Steven May","Gold Coast",7
"17",2014,1,"Dion Prestia","Gold Coast",7
"18",2014,1,"Trent Cotchin","Richmond",3
"19",2014,1,"David Swallow","Gold Coast",3
"20",2014,1,"Justin Westhoff","Port Adelaide",9
"21",2014,1,"Ollie Wines","Port Adelaide",9
"22",2014,1,"Jared Polec","Port Adelaide",6
"23",2014,1,"Robbie Gray","Port Adelaide",3
"24",2014,1,"Bryce Gibbs","Carlton",2
"25",2014,1,"David Ellard","Carlton",1
"26",2014,1,"Joel Selwood","Geelong",10
"27",2014,1,"Jimmy Bartel","Geelong",6
"28",2014,1,"Andrew Mackie","Geelong",4
"29",2014,1,"James Kelly","Geelong",4
"30",2014,1,"Steve Johnson","Geelong",3
"31",2014,1,"Daniel Talia","Adelaide",3
"32",2014,1,"Brendon Goddard","Essendon",8
"33",2014,1,"Jobe Watson","Essendon",8
"34",2014,1,"Cale Hooker","Essendon",8
"35",2014,1,"Paul Chapman","Essendon",2
"36",2014,1,"Lindsay Thomas","North Melbourne",2
"37",2014,1,"Heath Hocking","Essendon",1
"38",2014,1,"Dyson Heppell","Essendon",1
"39",2014,1,"Luke Breust","Hawthorn",8
"40",2014,1,"Jarryd Roughead","Hawthorn",6
"41",2014,1,"Grant Birchall","Hawthorn",6
"42",2014,1,"Tom Rockliff","Brisbane Lions",6
"43",2014,1,"Liam Shiels","Hawthorn",3
"44",2014,1,"Dayne Zorko","Brisbane Lions",1
"45",2014,1,"Nick Riewoldt","St Kilda",9
"46",2014,1,"Clinton Jones","St Kilda",8
"47",2014,1,"Nathan Jones","Melbourne",5
"48",2014,1,"Jack Watts","Melbourne",4
"49",2014,1,"Luke Dunstan","St Kilda",2
"50",2014,1,"Josh Saunders","St Kilda",1
"51",2014,1,"Bernie Vince","Melbourne",1
"52",2014,1,"Mark LeCras","West Coast",10
"53",2014,1,"Matt Rosa","West Coast",7
"54",2014,1,"Scott Selwood","West Coast",4
"55",2014,1,"Matt Priddis","West Coast",3
"56",2014,1,"Dean Cox","West Coast",2
"57",2014,1,"Eric Mackenzie","West Coast",2
"58",2014,1,"Jack Darling","West Coast",1
"59",2014,1,"Jack Macrae","Western Bulldogs",1
"60",2014,2,"Brandon Ellis","Richmond",10
"61",2014,2,"Chris Yarran","Carlton",7
"62",2014,2,"Ricky Petterd","Richmond",6
"63",2014,2,"Andrejs Everitt","Carlton",3
"64",2014,2,"Matt Thomas","Richmond",2
"65",2014,2,"Trent Cotchin","Richmond",1
"66",2014,2,"Marc Murphy","Carlton",1
"67",2014,2,"Cyril Rioli","Hawthorn",8
"68",2014,2,"Brendon Goddard","Essendon",7
"69",2014,2,"Shaun Burgoyne","Hawthorn",7
"70",2014,2,"David Myers","Essendon",4
"71",2014,2,"Jobe Watson","Essendon",3
"72",2014,2,"Josh Gibson","Hawthorn",1
"73",2014,2,"Nick Riewoldt","St Kilda",10
"74",2014,2,"David Armitage","St Kilda",8
"75",2014,2,"Devon Smith","Greater Western Sydney",5
"76",2014,2,"Callan Ward","Greater Western Sydney",3
"77",2014,2,"Tom Hickey","St Kilda",2
"78",2014,2,"Farren Ray","St Kilda",2
"79",2014,2,"Hamish Hartlett","Port Adelaide",8
"80",2014,2,"Brad Ebert","Port Adelaide",7
"81",2014,2,"Jack Hombsch","Port Adelaide",4
"82",2014,2,"Brodie Smith","Adelaide",4
"83",2014,2,"Chad Wingard","Port Adelaide",3
"84",2014,2,"Richard Douglas","Adelaide",2
"85",2014,2,"Jared Polec","Port Adelaide",1
"86",2014,2,"Rory Sloane","Adelaide",1
"87",2014,2,"David Mundy","Fremantle",8
"88",2014,2,"Michael Barlow","Fremantle",7
